# mH (GeV) 	H → bb 	H → ττ 	H → μμ 	H → ss 	H → cc 	H → tt   H → gg 	H → γγ 	H → Zγ 	H → WW 	H → ZZ 	Total ΓH (GeV) 
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageBR
# arXiv:1101.0593 Table 26
# CW 2014-12-01
121.0 	6.35E-01 	6.97E-02 	2.42E-04 	4.83E-04 	2.94E-02 	0.00E+00  8.79E-02 	2.26E-03 	1.20E-03 	1.56E-01 	1.79E-02 	3.57E-03
121.5 	6.28E-01 	6.90E-02 	2.39E-04 	4.78E-04 	2.91E-02 	0.00E+00  8.77E-02 	2.27E-03 	1.25E-03 	1.63E-01 	1.88E-02 	3.62E-03
122.0 	6.21E-01 	6.83E-02 	2.37E-04 	4.73E-04 	2.88E-02 	0.00E+00  8.75E-02 	2.28E-03 	1.29E-03 	1.70E-01 	1.99E-02 	3.68E-03
122.5 	6.14E-01 	6.75E-02 	2.34E-04 	4.68E-04 	2.85E-02 	0.00E+00  8.72E-02 	2.28E-03 	1.33E-03 	1.77E-01 	2.09E-02 	3.73E-03
123.0 	6.07E-01 	6.68E-02 	2.32E-04 	4.62E-04 	2.81E-02 	0.00E+00  8.69E-02 	2.28E-03 	1.38E-03 	1.85E-01 	2.20E-02 	3.79E-03
123.5 	6.00E-01 	6.60E-02 	2.29E-04 	4.56E-04 	2.78E-02 	0.00E+00  8.66E-02 	2.29E-03 	1.42E-03 	1.92E-01 	2.31E-02 	3.85E-03
124.0 	5.92E-01 	6.53E-02 	2.27E-04 	4.51E-04 	2.75E-02 	0.00E+00  8.63E-02 	2.29E-03 	1.46E-03 	2.00E-01 	2.42E-02 	3.91E-03
124.5 	5.85E-01 	6.45E-02 	2.24E-04 	4.45E-04 	2.71E-02 	0.00E+00  8.59E-02 	2.29E-03 	1.51E-03 	2.08E-01 	2.54E-02 	3.97E-03
125.0 	5.77E-01 	6.37E-02 	2.21E-04 	4.39E-04 	2.67E-02 	0.00E+00  8.55E-02 	2.29E-03 	1.55E-03 	2.16E-01 	2.66E-02 	4.04E-03
125.5 	5.69E-01 	6.28E-02 	2.18E-04 	4.33E-04 	2.64E-02 	0.00E+00  8.50E-02 	2.29E-03 	1.59E-03 	2.24E-01 	2.79E-02 	4.11E-03
126.0 	5.61E-01 	6.20E-02 	2.15E-04 	4.27E-04 	2.60E-02 	0.00E+00  8.45E-02 	2.29E-03 	1.64E-03 	2.33E-01 	2.91E-02 	4.18E-03
126.5 	5.53E-01 	6.12E-02 	2.12E-04 	4.21E-04 	2.56E-02 	0.00E+00  8.40E-02 	2.29E-03 	1.68E-03 	2.41E-01 	3.04E-02 	4.25E-03
