# mH (GeV) 	H → bb 	H → ττ 	H → μμ 	H → ss 	H → cc 	H → tt   H → gg 	H → γγ 	H → Zγ 	H → WW 	H → ZZ 	Total ΓH (GeV)
# Computed with HDECAY 6.51, using the input file hdecay.in.lightSM.
#
# PS 2016-09-25
#
 9.25000      0.000     0.3737     0.1639E-02 0.3319E-02 0.4337      0.000      0.1876     0.5468E-04  0.000     0.3984E-08 0.1325E-08 0.4093E-04
 9.50000      0.000     0.3743     0.1620E-02 0.3248E-02 0.4248      0.000      0.1960     0.5632E-04  0.000     0.4624E-08 0.1537E-08 0.4252E-04
 9.75000     0.6662E-01 0.3481     0.1489E-02 0.2956E-02 0.3868      0.000      0.1940     0.5326E-04  0.000     0.4968E-08 0.1651E-08 0.4749E-04
 10.0000     0.3168     0.2530     0.1070E-02 0.2105E-02 0.2756      0.000      0.1513     0.3995E-04  0.000     0.4159E-08 0.1381E-08 0.6775E-04
 10.2500     0.4641     0.1976     0.8271E-03 0.1613E-02 0.2112      0.000      0.1247     0.3255E-04  0.000     0.3730E-08 0.1239E-08 0.8984E-04
 10.5000     0.5557     0.1634     0.6776E-03 0.1310E-02 0.1716      0.000      0.1073     0.2822E-04  0.000     0.3534E-08 0.1173E-08 0.1123E-03
 10.7500     0.6169     0.1408     0.5788E-03 0.1110E-02 0.1454      0.000      0.9527E-01 0.2556E-04  0.000     0.3478E-08 0.1154E-08 0.1346E-03
 11.0000     0.6602     0.1250     0.5096E-03 0.9691E-03 0.1270      0.000      0.8638E-01 0.2387E-04  0.000     0.3517E-08 0.1167E-08 0.1564E-03
 11.2500     0.6922     0.1134     0.4590E-03 0.8661E-03 0.1135      0.000      0.7955E-01 0.2279E-04  0.000     0.3628E-08 0.1203E-08 0.1776E-03
 11.5000     0.7168     0.1047     0.4207E-03 0.7878E-03 0.1032      0.000      0.7410E-01 0.2213E-04  0.000     0.3796E-08 0.1259E-08 0.1980E-03
 11.7500     0.7361     0.9790E-01 0.3909E-03 0.7266E-03 0.9522E-01  0.000      0.6964E-01 0.2175E-04  0.000     0.4016E-08 0.1331E-08 0.2177E-03
 12.0000     0.7517     0.9253E-01 0.3672E-03 0.6776E-03 0.8880E-01  0.000      0.6588E-01 0.2158E-04  0.000     0.4283E-08 0.1419E-08 0.2367E-03
 12.2500     0.7646     0.8820E-01 0.3480E-03 0.6377E-03 0.8357E-01  0.000      0.6267E-01 0.2157E-04  0.000     0.4597E-08 0.1523E-08 0.2549E-03
 12.5000     0.7753     0.8465E-01 0.3322E-03 0.6047E-03 0.7923E-01  0.000      0.5987E-01 0.2169E-04  0.000     0.4957E-08 0.1642E-08 0.2724E-03
 12.7500     0.7844     0.8172E-01 0.3191E-03 0.5770E-03 0.7559E-01  0.000      0.5740E-01 0.2190E-04  0.000     0.5366E-08 0.1777E-08 0.2893E-03
 13.0000     0.7921     0.7927E-01 0.3081E-03 0.5534E-03 0.7250E-01  0.000      0.5520E-01 0.2220E-04  0.000     0.5825E-08 0.1928E-08 0.3055E-03
 13.2500     0.7989     0.7720E-01 0.2987E-03 0.5333E-03 0.6985E-01  0.000      0.5320E-01 0.2257E-04  0.000     0.6336E-08 0.2097E-08 0.3211E-03
 13.5000     0.8048     0.7545E-01 0.2907E-03 0.5158E-03 0.6755E-01  0.000      0.5139E-01 0.2300E-04  0.000     0.6903E-08 0.2284E-08 0.3361E-03
 13.7500     0.8100     0.7396E-01 0.2838E-03 0.5006E-03 0.6555E-01  0.000      0.4972E-01 0.2348E-04  0.000     0.7530E-08 0.2491E-08 0.3506E-03
 14.0000     0.8146     0.7268E-01 0.2779E-03 0.4872E-03 0.6379E-01  0.000      0.4818E-01 0.2400E-04  0.000     0.8220E-08 0.2719E-08 0.3646E-03
 14.2500     0.8187     0.7157E-01 0.2727E-03 0.4754E-03 0.6223E-01  0.000      0.4676E-01 0.2457E-04  0.000     0.8977E-08 0.2968E-08 0.3781E-03
 14.5000     0.8223     0.7062E-01 0.2682E-03 0.4649E-03 0.6085E-01  0.000      0.4542E-01 0.2518E-04  0.000     0.9807E-08 0.3242E-08 0.3912E-03
 14.7500     0.8257     0.6980E-01 0.2642E-03 0.4555E-03 0.5961E-01  0.000      0.4417E-01 0.2581E-04  0.000     0.1071E-07 0.3541E-08 0.4038E-03
 15.0000     0.8287     0.6909E-01 0.2607E-03 0.4471E-03 0.5851E-01  0.000      0.4299E-01 0.2648E-04  0.000     0.1170E-07 0.3867E-08 0.4161E-03
 15.2500     0.8314     0.6847E-01 0.2577E-03 0.4395E-03 0.5751E-01  0.000      0.4188E-01 0.2718E-04  0.000     0.1278E-07 0.4223E-08 0.4280E-03
 15.5000     0.8339     0.6793E-01 0.2550E-03 0.4327E-03 0.5660E-01  0.000      0.4083E-01 0.2791E-04  0.000     0.1396E-07 0.4609E-08 0.4396E-03
